node_id position sig_11 sig_12 sig_13 sig_14 sig_22 sig_23 sig_24 sig_33 sig_34 sig_44
Begin_Of_RTBT1 0.00 62.7083344147 12.2247728825 0.117296262869 0.738995200616 3.39024639468 -2.47264396259 0.153971892667 257.759448543 -0.908785468042 0.272915549705
Ring_Mag:EKick01 0.42 73.6571056704 13.6588471075 -0.588487126664 0.804125311214 3.39024639468 -2.407513852 0.153971892667 257.039448544 -0.793342190517 0.272915549705
Ring_Mag:EKick02 0.88 86.7581228699 15.1980189707 -1.28468945355 0.874028550485 3.39024639468 -2.33761061272 0.153971892667 256.375346096 -0.669438530951 0.272915549705
Ring_Mag:EKick03 1.36 102.129333851 16.8253372401 -1.95173371935 0.947935058965 3.39024639468 -2.26370410424 0.153971892667 255.795564849 -0.538439067092 0.272915549705
Ring_Mag:EKick04 1.89 121.028275057 18.6323385685 -2.60929689947 1.03000207776 3.39024639468 -2.18163708545 0.153971892667 255.299121109 -0.3929750791 0.272915549705
Ring_Mag:EKick05 2.48 143.988338255 20.6156327094 -3.23031034801 1.12007563497 3.39024639468 -2.09156352824 0.153971892667 254.93273879 -0.233319482522 0.272915549705
Ring_Mag:EKick06 3.06 169.268855597 22.5989268502 -3.7459377346 1.21014919218 3.39024639468 -2.00148997103 0.153971892667 254.75315352 -0.0736638859451 0.272915549705
Ring_Mag:EKick07 3.65 196.869827084 24.5822209911 -4.15617905926 1.30022274939 3.39024639468 -1.91141641382 0.153971892667 254.760365297 0.0859917106322 0.272915549705
Ring_Mag:QTH_C10 5.00 252.557174729 -21.9438071524 -4.7222195701 0.497942636154 2.15666929899 -0.865013436451 -0.299563638863 272.891170091 53.3159210631 10.6713167318
Ring_Mag:QTV_C11 6.03 147.458393889 -27.743027271 -5.49322420847 0.0729802401738 5.64787919377 -1.21436017271 -0.31979543981 495.62097442 65.7499136462 8.86276417214
Ring_Mag:EKick08 6.97 135.788636137 -2.49608871444 -6.61859626018 1.037285828 0.510956538636 -2.17687193868 0.0623555277223 481.48970392 -19.1810719867 0.908501655512
Ring_Mag:EKick09 7.48 133.379996957 -2.23601183628 -7.18249045803 1.06902479161 0.510956538636 -2.14513297507 0.0623555277223 462.198748155 -18.7186446441 0.908501655512
Ring_Mag:EKick10 7.99 131.23216468 -1.97542400157 -7.71508695883 1.10082611075 0.510956538636 -2.11333165593 0.0623555277223 443.342031899 -18.2553087998 0.908501655512
Ring_Mag:EKick11 8.50 129.363858858 -1.71687999302 -8.2114495048 1.13237800778 0.510956538636 -2.0817797589 0.0623555277223 425.100268523 -17.7956069621 0.908501655512
Ring_Mag:EKick12 8.99 127.806050496 -1.46686895867 -8.66106296476 1.16288856749 0.510956538636 -2.05126919919 0.0623555277223 407.902996011 -17.351077102 0.908501655512
Ring_Mag:EKick13 9.46 126.541781632 -1.22707705509 -9.06424665852 1.19215201665 0.510956538636 -2.02200575003 0.0623555277223 391.81736571 -16.9247172751 0.908501655512
Ring_Mag:EKick14 9.93 125.499028877 -0.986365429734 -9.44135186517 1.22152770576 0.510956538636 -1.99263006092 0.0623555277223 376.072525599 -16.4967221452 0.908501655512
RTBT_Mag:ExSptm 17.48 133.405784275 2.23895625919 -11.8242167345 1.61513581287 0.510956538636 -1.59902195381 0.0623555277223 204.006922943 -10.7619680666 0.908501655512
RTBT_POST_SEPTUM 20.00 145.766172891 4.25379031386 -10.0730781797 2.24400445754 0.557374616203 -1.35615422202 0.118919336191 122.939499683 -11.8863430138 1.71471188144
RTBT_Mag:QV01 22.60 177.978126621 30.0649427941 -6.95438486464 3.62412181559 5.4335464487 -1.96125802115 0.756717629824 70.0886196662 -17.2652693934 5.24493419247
RTBT_Diag:BLM02 23.36 261.574184018 49.2879738478 -4.90319692758 5.29207393069 9.52867733493 -1.42579814264 1.1625265957 38.1907325801 -15.9851496063 8.51111399388
RTBT_Mag:QH02 23.56 261.574184018 49.2879738478 -4.90319692758 5.29207393069 9.52867733493 -1.42579814264 1.1625265957 38.1907325801 -15.9851496063 8.51111399388
RTBT_Diag:WS02 27.34 129.938073538 -16.5764297445 7.44021130425 3.12109053018 2.60069775172 -1.49339559293 -0.378442275222 35.782677384 6.59392463833 3.15796695387
RTBT_Diag:BCM02 28.00 108.98213808 -14.8417643441 8.35751902202 2.86866953261 2.60069775172 -1.7458165905 -0.378442275222 45.9839176117 8.70028859656 3.15796695387
RTBT_Diag:BLM03 28.86 85.6858193701 -10.5117213191 9.03956960183 2.32615370596 2.02656541075 -1.84265415871 -0.270031047807 63.0242067826 9.834535736 2.63769704044
RTBT_Mag:QV03 29.06 85.6858193701 -10.5117213191 9.03956960183 2.32615370596 2.02656541075 -1.84265415871 -0.270031047807 63.0242067826 9.834535736 2.63769704044
RTBT_Diag:BLM04 32.72 162.290587793 9.7208653195 13.4356393529 1.38367106208 0.971386309832 0.547657051648 0.193746608905 53.4022828983 1.86680334476 1.36708809679
RTBT_Mag:QH04 32.92 162.290587793 9.7208653195 13.4356393529 1.38367106208 0.971386309832 0.547657051648 0.193746608905 53.4022828983 1.86680334476 1.36708809679
RTBT_Diag:BLM05 36.58 24.4469005299 -8.0301561487 10.5917106514 1.46522599576 5.22090889407 -5.39480231089 -0.572076828625 245.33131771 27.9851264596 3.47565888236
RTBT_Mag:QV05 36.78 24.4469005299 -8.0301561487 10.5917106514 1.46522599576 5.22090889407 -5.39480231089 -0.572076828625 245.33131771 27.9851264596 3.47565888236
