node_id position sig_11 sig_12 sig_13 sig_14 sig_22 sig_23 sig_24 sig_33 sig_34 sig_44
Begin_Of_RTBT1 0.00 87.9986328598 17.0398682216 54.716160356 -1.65176831443 4.24919443797 15.8013984165 -0.315442983531 222.23204261 -0.0961171036282 0.268415623417
Ring_Mag:EKick01 0.42 103.174665487 18.8372774688 60.6450119915 -1.78520069646 4.24919443797 15.6679660345 -0.315442983531 222.198754879 0.0174227050772 0.268415623417
Ring_Mag:EKick02 0.88 121.154740389 20.7664117437 66.882769609 -1.92841181099 4.24919443797 15.5247549199 -0.315442983531 222.26989945 0.139283398108 0.268415623417
Ring_Mag:EKick03 1.36 142.069510062 22.8060250739 73.3363362379 -2.07982444308 4.24919443797 15.3733422878 -0.315442983531 222.465454472 0.268122897349 0.268415623417
Ring_Mag:EKick04 1.89 167.587882189 25.0708457093 80.3321673674 -2.2479555533 4.24919443797 15.2052111776 -0.315442983531 222.827527406 0.41118842463 0.268415623417
Ring_Mag:EKick05 2.48 198.374952236 27.5566244555 87.8042094326 -2.43248969867 4.24919443797 15.0206770323 -0.315442983531 223.4004764 0.568211564329 0.268415623417
Ring_Mag:EKick06 3.06 232.070383415 30.0424032018 95.0603465477 -2.61702384403 4.24919443797 14.8361428869 -0.315442983531 224.157142467 0.725234704028 0.268415623417
Ring_Mag:EKick07 3.65 268.674175728 32.528181948 102.100578713 -2.8015579894 4.24919443797 14.6516087415 -0.315442983531 225.097525607 0.882257843727 0.268415623417
Ring_Mag:QTH_C10 5.00 341.347344047 -31.0297859688 117.623761556 19.8324018988 3.06553962644 -8.68653167915 -1.3894672713 243.541164173 48.5652280588 9.92942075468
Ring_Mag:QTV_C11 6.03 196.864632266 -38.503897055 120.611096413 14.1234041386 7.95529528428 -20.1997023166 -2.29206223275 445.31845266 59.8065633707 8.16599068432
Ring_Mag:EKick08 6.97 178.756144525 -4.68828486981 114.623302751 -6.51587417396 0.590447996004 0.244715645585 0.0632147550204 433.230494622 -16.9879873703 0.803805440702
Ring_Mag:EKick09 7.48 174.136444385 -4.38774683984 111.447660802 -6.48369786365 0.590447996004 0.276891955891 0.0632147550204 416.144974197 -16.578850401 0.803805440702
Ring_Mag:EKick10 7.99 169.814518132 -4.08661836188 108.298631946 -6.45145833859 0.590447996004 0.309131480951 0.0632147550204 399.443616583 -16.1689096262 0.803805440702
Ring_Mag:EKick11 8.50 165.830036293 -3.7878516759 105.206799809 -6.41947167255 0.590447996004 0.341118146991 0.0632147550204 383.286483171 -15.7621840732 0.803805440702
Ring_Mag:EKick12 8.99 162.264606449 -3.49894547146 102.247795958 -6.38854069292 0.590447996004 0.372049126623 0.0632147550204 368.054052506 -15.3688820711 0.803805440702
Ring_Mag:EKick13 9.46 159.110537966 -3.22184822693 99.4381790406 -6.35887400839 0.590447996004 0.401715811154 0.0632147550204 353.805851906 -14.9916561777 0.803805440702
Ring_Mag:EKick14 9.93 156.205953767 -2.94368817601 96.6457913939 -6.3290935373 0.590447996004 0.431496282244 0.0632147550204 339.859106185 -14.6129834346 0.803805440702
RTBT_Mag:ExSptm 17.48 142.569578844 0.783409108572 61.9370813638 -5.93006171167 0.590447996004 0.83052810787 0.0632147550204 187.40336819 -9.53910547137 0.803805440702
RTBT_POST_SEPTUM 20.00 144.756935799 3.11250304999 39.7381344697 -7.18362001681 0.644210013218 1.06763957673 0.0294654829551 114.94073745 -10.7646256919 1.52703457401
RTBT_Mag:QV01 22.60 171.398591942 28.2479560025 24.0309775415 -10.7466880612 5.14305981523 4.39272020377 -1.59655483618 66.7777091629 -16.1666691244 4.80703079464
RTBT_Diag:BLM02 23.36 250.681597068 46.6410091101 17.2975617439 -15.3707586637 9.0112315763 3.63394939978 -2.71807897311 36.6696614947 -15.1276358728 7.86717600061
RTBT_Mag:QH02 23.56 250.681597068 46.6410091101 17.2975617439 -15.3707586637 9.0112315763 3.63394939978 -2.71807897311 36.6696614947 -15.1276358728 7.86717600061
RTBT_Diag:WS02 27.34 123.207672916 -15.6813674291 -15.1402137446 -6.98762004028 2.67411492269 4.26492738237 1.38447660271 32.6750997286 5.69260180918 2.817038965
RTBT_Diag:BCM02 28.00 103.478413079 -13.8977327757 -16.3403113361 -6.06417414627 2.67411492269 5.18837327638 1.38447660271 41.5223001901 7.57156679883 2.817038965
RTBT_Diag:BLM03 28.86 81.839231305 -9.60008439108 -16.0817239487 -4.49352292833 2.14723195467 5.96330954906 1.11653749851 56.3998918929 8.57894671111 2.36240950049
RTBT_Mag:QV03 29.06 81.839231305 -9.60008439108 -16.0817239487 -4.49352292833 2.14723195467 5.96330954906 1.11653749851 56.3998918929 8.57894671111 2.36240950049
RTBT_Diag:BLM04 32.72 164.913915525 11.1527501894 -14.5895692209 -2.74958626503 1.2609610803 1.52086240116 -0.319315664382 47.4809128096 1.80496293852 1.32472611098
RTBT_Mag:QH04 32.92 164.913915525 11.1527501894 -14.5895692209 -2.74958626503 1.2609610803 1.52086240116 -0.319315664382 47.4809128096 1.80496293852 1.32472611098
RTBT_Diag:BLM05 36.58 29.6503702909 -8.00657204718 1.05880198329 -0.693159181262 4.98042307013 10.9297478002 1.19414710341 222.239313172 25.6528769586 3.22945297017
RTBT_Mag:QV05 36.78 29.6503702909 -8.00657204718 1.05880198329 -0.693159181262 4.98042307013 10.9297478002 1.19414710341 222.239313172 25.6528769586 3.22945297017
RTBT_Mag:DCV05 37.33 29.3612208626 3.73767227222 8.28558322078 -3.05593909661 3.32194586727 10.7889659391 -2.91228774419 184.973824834 -43.1854949625 10.4048683139
