RTBT_Mag:QH18 RTBT_Mag:QV19 RTBT_Mag:QH26 RTBT_Mag:QV27 RTBT_Mag:QH28 RTBT_Mag:QV29 RTBT_Mag:QH30 
1.47610896339 -1.42833662798 2.37610035658 -1.3218873616 1.89978423663 -1.2166227679 0.569855085802 
1.48463308769 -1.45215899647 2.339533926 -1.45766928391 1.92343202263 -1.29970676702 0.646621615883 
1.50180426443 -1.50067211298 2.39196694449 -1.5257784393 1.8601639727 -1.09846747765 0.599628692651 
1.51964299863 -1.55181843743 2.41332094683 -1.57302655229 1.87742762721 -1.12268881062 0.603522904772 
1.5392794379 -1.60900478532 2.43587624473 -1.46981523363 1.8520569454 -1.12182403104 0.60141965175 
1.56167496765 -1.67536485187 2.47549308578 -1.46630784699 1.84801332794 -1.11821293516 0.596214461363 
1.58690458301 -1.75158020375 2.45329678048 -1.45117086446 1.83919014257 -1.13886763235 0.617279213341 
1.61339468237 -1.83326499682 2.39552587507 -1.51486796978 1.87719476342 -1.20989906418 0.63695844545 
1.63891188736 -1.91355173475 2.28680700415 -1.46654321557 1.80599418957 -1.18639718593 0.695860295911 
1.66224849573 -1.98834017174 2.2538697074 -1.50767427862 1.86177591932 -1.20153511725 0.651930221619 
1.68340066905 -2.05723622137 2.4749840693 -1.55754022576 1.879229088 -1.14978912075 0.584471023007 
1.70302286545 -2.12207310898 2.42984424594 -1.55045308589 1.84326607153 -1.07682327704 0.576924535734 
1.72204267338 -2.18574847606 2.46616327415 -1.50015528863 1.83319163281 -1.09242272394 0.58256933776 
1.74154815375 -2.25187240733 2.20264314198 -1.48029851831 1.86495004395 -1.17381247824 0.61531372247 
1.75589246847 -2.30056581447 2.32511960779 -1.33496738822 1.86873592587 -1.1952083741 0.576143752397 
1.47610896339 -1.42833662798 2.37610035658 -1.3218873616 1.89978423663 -1.2166227679 0.569855085801 
1.48340273503 -1.44870988393 2.43511982945 -1.34108047928 1.88254371946 -1.21560462397 0.589315471637 
1.5005615931 -1.49713761282 2.39782458397 -1.55051507704 1.86330802537 -1.09142220869 0.597081720148 
1.51822080187 -1.54771274239 2.41599096733 -1.57328818921 1.87664151837 -1.12169800666 0.603962956524 
1.53748115936 -1.60372900106 2.49380912616 -1.4575029812 1.84830828491 -1.13584999263 0.608131827512 
1.55930711837 -1.6682912035 2.4606814002 -1.46902715457 1.84812610296 -1.11653424942 0.597387113892 
1.58399337463 -1.74270695962 2.46770513086 -1.47377569876 1.83112030815 -1.1216004528 0.622171527655 
1.6103915136 -1.82391906395 2.47198294573 -1.44801792911 1.82999215888 -1.15231720014 0.633664710702 
1.63632346923 -1.90533634743 2.28548708446 -1.4640964659 1.80932439668 -1.18384983903 0.690647239835 
1.66021763229 -1.98178046574 2.27702761499 -1.48726208654 1.83537505249 -1.15867895001 0.645887116705 
1.68180950673 -2.05201732835 2.4817503994 -1.55588215516 1.88123047869 -1.1554637899 0.585051920727 
1.7016994122 -2.11767250674 2.44034953303 -1.55902127735 1.84676996977 -1.08392067558 0.579833478688 
1.72083685014 -2.18168777315 2.47197150598 -1.49324350235 1.83265460853 -1.09868382348 0.585809933528 
1.74033040036 -2.2477203707 2.19376204768 -1.47856151497 1.86266470374 -1.16359942588 0.611623561591 
1.76090295126 -2.31354083305 2.30604559835 -1.34300552308 1.87121251452 -1.19258061289 0.577774762077 
1.47610896339 -1.42833662798 2.37610035658 -1.3218873616 1.89978423663 -1.2166227679 0.569855085802 
1.48216435115 -1.44524188729 2.1131015993 -1.27746441735 2.01309643123 -1.25083265905 0.543584299638 
1.49932844609 -1.49363385346 2.45468831958 -1.45200274898 1.85813923559 -1.15541922163 0.615684463772 
1.51682892492 -1.54369928891 2.4007659866 -1.55999491755 1.88302325734 -1.15523481198 0.617475791842 
1.53574390192 -1.59863966657 2.45240795379 -1.4719820752 1.85157507028 -1.1208168242 0.600971222381 
1.55703177135 -1.66150671027 2.49365522861 -1.46354178015 1.8462034818 -1.12334591672 0.600937567921 
1.58115237461 -1.73406754068 2.4919784862 -1.44815723154 1.84187547666 -1.13807428277 0.609578435567 
1.61187693158 -1.81724169547 2.22358497476 -1.46756740584 1.90518984798 -1.11735672882 0.55268753509 
1.64304202839 -1.9023783594 2.29227154124 -1.45720590225 1.84733608035 -1.16717738374 0.641401367904 
1.67134941119 -1.98210248339 2.29738251135 -1.46519515291 1.8467556648 -1.16782798272 0.642337459754 
1.69632591826 -2.05442306771 2.35313920484 -1.52529561977 1.87746821254 -1.20640681084 0.640194972253 
1.7188015763 -2.12115152716 2.36679870036 -1.52067929198 1.88194255719 -1.21546834329 0.63720351731 
1.74000145918 -2.18557751459 2.44296129027 -1.4551472339 1.83628946429 -1.14835715083 0.622696257414 
1.76123357555 -2.25159815843 2.21552945641 -1.4857696394 1.87954042526 -1.20044171117 0.637882188055 
1.78395623673 -2.32397308476 2.39917250715 -1.31456172394 1.87446016815 -1.20941190548 0.578144050434 
1.5124639445 -1.44152438072 2.32991008301 -1.31285646605 1.91734426942 -1.21820458355 0.55857402952 
1.5162264562 -1.45788981513 2.31465036655 -1.34699897963 2.00437688122 -1.33228498204 0.516718746059 
1.53649525819 -1.50735104691 2.2957438934 -1.53790937117 1.887658924 -1.12478805841 0.607031916521 
1.5570738862 -1.55858224924 2.42916564125 -1.57562351806 1.88702058901 -1.12192518488 0.600231615339 
1.57928420293 -1.6150581439 2.40876812241 -1.48072070552 1.86095123547 -1.1202544628 0.607505354487 
1.60428241025 -1.68014200706 2.26899509354 -1.54687043914 1.90145131572 -1.14973920538 0.611144671384 
