node_id M11 M12 M13 M14 M21 M22 M23 M34 M31 M32 M33 M34 M41 M42 M43 M44
Begin_Of_RTBT1 2.61935376545 -16.841801984 0.0 0.0 0.162855412842 -0.665346788241 0.0 0.0 0.0 0.0 0.407207335291 7.56989483618 0.0 0.0 -0.139328444029 -0.134333702378
Ring_Mag:EKick01 2.61935376545 -17.9497886268 0.0 0.0 0.162855412842 -0.734234627873 0.0 0.0 0.0 0.0 0.407207335291 7.39764613336 0.0 0.0 -0.139328444029 -0.0753977705539
Ring_Mag:EKick02 2.61935376545 -19.1389752363 0.0 0.0 0.162855412842 -0.808170985303 0.0 0.0 0.0 0.0 0.407207335291 7.21277400313 0.0 0.0 -0.139328444029 -0.0121426569649
Ring_Mag:EKick03 2.61935376545 -20.3962650437 0.0 0.0 0.162855412842 -0.886341583467 0.0 0.0 0.0 0.0 0.407207335291 7.01731448219 0.0 0.0 -0.139328444029 0.0547349961688
Ring_Mag:EKick04 2.61935376545 -21.7923806007 0.0 0.0 0.162855412842 -0.973143518512 0.0 0.0 0.0 0.0 0.407207335291 6.80027297248 0.0 0.0 -0.139328444029 0.128997056836
Ring_Mag:EKick05 2.61935376545 -23.3247025535 0.0 0.0 0.162855412842 -1.06841393502 0.0 0.0 0.0 0.0 0.407207335291 6.56205668134 0.0 0.0 -0.139328444029 0.210504196593
Ring_Mag:EKick06 2.61935376545 -24.8570245063 0.0 0.0 0.162855412842 -1.16368435154 0.0 0.0 0.0 0.0 0.407207335291 6.32384039019 0.0 0.0 -0.139328444029 0.292011336349
Ring_Mag:EKick07 2.61935376545 -26.3893464591 0.0 0.0 0.162855412842 -1.25895476805 0.0 0.0 0.0 0.0 0.407207335291 6.08562409905 0.0 0.0 -0.139328444029 0.373518476106
Ring_Mag:QTH_C10 -4.06356417071 -28.8125940962 0.0 0.0 -0.166162884728 -1.42426291511 0.0 0.0 0.0 0.0 -0.895113310295 5.75244941457 0.0 0.0 -0.264548154539 0.582942819306
Ring_Mag:QTV_C11 -6.32101771427 -19.7310677968 0.0 0.0 -0.273076683251 -1.01061171471 0.0 0.0 0.0 0.0 -0.785178917541 7.64625407968 0.0 0.0 -0.228795034117 0.954463939727
