node_id M11 M12 M13 M14 M21 M22 M23 M34 M31 M32 M33 M34 M41 M42 M43 M44
Begin_Of_RTBT1 1.46390702029 -14.5796878402 0.0 0.0 0.136980269042 -0.681142688076 0.0 0.0 0.0 0.0 0.407075480712 7.56744357976 0.0 0.0 -0.159878121042 -0.515552202393
Ring_Mag:EKick01 1.46390702029 -15.1989205098 0.0 0.0 0.136980269042 -0.739085341881 0.0 0.0 0.0 0.0 0.407075480712 7.39525065142 0.0 0.0 -0.159878121042 -0.447923757193
Ring_Mag:EKick02 1.46390702029 -15.863534297 0.0 0.0 0.136980269042 -0.801274384026 0.0 0.0 0.0 0.0 0.407075480712 7.21043838317 0.0 0.0 -0.159878121042 -0.37533909024
Ring_Mag:EKick03 1.46390702029 -16.5662096667 0.0 0.0 0.136980269042 -0.867024913165 0.0 0.0 0.0 0.0 0.407075480712 7.01504215243 0.0 0.0 -0.159878121042 -0.29859759214
Ring_Mag:EKick04 1.46390702029 -17.3464721085 0.0 0.0 0.136980269042 -0.940035396565 0.0 0.0 0.0 0.0 0.407075480712 6.79807092121 0.0 0.0 -0.159878121042 -0.213382553624
Ring_Mag:EKick05 1.46390702029 -18.2028577154 0.0 0.0 0.136980269042 -1.02016885395 0.0 0.0 0.0 0.0 0.407075480712 6.55993176499 0.0 0.0 -0.159878121042 -0.119853852815
Ring_Mag:EKick06 1.46390702029 -19.0592433223 0.0 0.0 0.136980269042 -1.10030231134 0.0 0.0 0.0 0.0 0.407075480712 6.32179260878 0.0 0.0 -0.159878121042 -0.0263251520053
Ring_Mag:EKick07 1.46390702029 -19.9156289291 0.0 0.0 0.136980269042 -1.18043576873 0.0 0.0 0.0 0.0 0.407075480712 6.08365345256 0.0 0.0 -0.159878121042 0.0672035488042
Ring_Mag:QTH_C10 -3.44157845371 -21.0717171811 0.0 0.0 -0.167288151695 -1.31481780268 0.0 0.0 0.0 0.0 -0.89482344546 5.75058664651 0.0 0.0 -0.219561253204 0.293472429783
Ring_Mag:QTV_C11 -5.15583271108 -13.9527463256 0.0 0.0 -0.267858433327 -0.918835237068 0.0 0.0 0.0 0.0 -0.784924652942 7.64377804857 0.0 0.0 -0.189332195171 0.569753129378
Ring_Mag:EKick08 -2.50223660583 -11.2315032572 0.0 0.0 -0.0912086671593 -0.809040375147 0.0 0.0 0.0 0.0 0.737701663037 7.14735467861 0.0 0.0 -0.0723978358981 0.654122137783
Ring_Mag:EKick09 -2.50223660583 -9.95786482485 0.0 0.0 -0.0912086671593 -0.762615163563 0.0 0.0 0.0 0.0 0.737701663037 6.77186453213 0.0 0.0 -0.0723978358981 0.690972636256
Ring_Mag:EKick10 -2.50223660583 -8.68172415588 0.0 0.0 -0.0912086671593 -0.716098743312 0.0 0.0 0.0 0.0 0.737701663037 6.39563668398 0.0 0.0 -0.0723978358981 0.727895532564
Ring_Mag:EKick11 -2.50223660583 -7.41559243333 0.0 0.0 -0.0912086671593 -0.669947157729 0.0 0.0 0.0 0.0 0.737701663037 6.02235964248 0.0 0.0 -0.0723978358981 0.764528837528
Ring_Mag:EKick12 -2.50223660583 -6.1912480621 0.0 0.0 -0.0912086671593 -0.625318756888 0.0 0.0 0.0 0.0 0.737701663037 5.66140221876 0.0 0.0 -0.0723978358981 0.799953098633
Ring_Mag:EKick13 -2.50223660583 -5.01694842298 0.0 0.0 -0.0912086671593 -0.58251452939 0.0 0.0 0.0 0.0 0.737701663037 5.31519882829 0.0 0.0 -0.0723978358981 0.83392940302
Ring_Mag:EKick14 -2.50223660583 -3.83814475797 0.0 0.0 -0.0912086671593 -0.539546126292 0.0 0.0 0.0 0.0 0.737701663037 4.96766757484 0.0 0.0 -0.0723978358981 0.868036023511
RTBT_Mag:ExSptm -2.50223660583 11.956775916 0.0 0.0 -0.0912086671593 0.0361922588001 0.0 0.0 0.0 0.0 0.737701663037 0.31105787551 0.0 0.0 -0.0723978358981 1.32503440341
RTBT_POST_SEPTUM -2.59195665188 20.8287345272 0.0 0.0 -0.0951999832448 0.379209728406 0.0 0.0 0.0 0.0 0.680915193305 -2.39164163059 0.0 0.0 -0.01618451443 1.52545804337
RTBT_Mag:QV01 -7.0140022245 28.1403046839 0.0 0.0 -0.1949151452 0.639431159255 0.0 0.0 0.0 0.0 0.0291216599497 -4.07230849787 0.0 0.0 0.234591532402 1.53394103042
RTBT_Diag:BLM02 -8.83542926815 36.2264218139 0.0 0.0 -0.23503439351 0.850491227082 0.0 0.0 0.0 0.0 -0.318992423065 -3.70573302204 0.0 0.0 0.37413014807 1.21139693706
RTBT_Mag:QH02 -8.83542926815 36.2264218139 0.0 0.0 -0.23503439351 0.850491227082 0.0 0.0 0.0 0.0 -0.318992423065 -3.70573302204 0.0 0.0 0.37413014807 1.21139693706
RTBT_Diag:WS02 3.20975494054 26.7015402794 0.0 0.0 0.0500940967796 0.728276639875 0.0 0.0 0.0 0.0 0.876855772262 -6.8735987362 0.0 0.0 0.00677641479185 1.08731866062
RTBT_Diag:BCM02 3.20975494054 24.560633734 0.0 0.0 0.0500940967796 0.694863877323 0.0 0.0 0.0 0.0 0.876855772262 -7.4584615363 0.0 0.0 0.00677641479185 1.08279879195
RTBT_Diag:BLM03 2.58290940692 21.8416109228 0.0 0.0 0.0313960104708 0.652651401832 0.0 0.0 0.0 0.0 0.642792888437 -8.1996956114 0.0 0.0 0.0375856621834 1.07625492315
RTBT_Mag:QV03 2.58290940692 21.8416109228 0.0 0.0 0.0313960104708 0.652651401832 0.0 0.0 0.0 0.0 0.642792888437 -8.1996956114 0.0 0.0 0.0375856621834 1.07625492315
RTBT_Diag:BLM04 -1.98636103083 32.1375792004 0.0 0.0 -0.101976586792 1.14645857387 0.0 0.0 0.0 0.0 -1.36835615269 -3.0193613918 0.0 0.0 0.308550466338 -0.049968448918
RTBT_Mag:QH04 -1.98636103083 32.1375792004 0.0 0.0 -0.101976586792 1.14645857387 0.0 0.0 0.0 0.0 -1.36835615269 -3.0193613918 0.0 0.0 0.308550466338 -0.049968448918
RTBT_Diag:BLM05 6.77735759432 6.85589378301 0.0 0.0 0.207859173283 0.357817981434 0.0 0.0 0.0 0.0 -0.606902916659 -0.604244791577 0.0 0.0 0.285533701905 -1.36342687618
RTBT_Mag:QV05 6.77735759432 6.85589378301 0.0 0.0 0.207859173283 0.357817981434 0.0 0.0 0.0 0.0 -0.606902916659 -0.604244791577 0.0 0.0 0.285533701905 -1.36342687618
RTBT_Mag:DCV05 4.67738151937 2.8811291988 0.0 0.0 0.0855636939205 0.266499547182 0.0 0.0 0.0 0.0 -0.77945914442 -0.0488595851969 0.0 0.0 -0.243803754502 -1.29822346374
RTBT_Diag:BLM06 4.17310909091 -11.6262343307 0.0 0.0 0.0856960469016 0.000881279981736 0.0 0.0 0.0 0.0 -0.88244301699 2.37337154348 0.0 0.0 -0.21982485729 -0.541988468319
RTBT_Mag:QH06 4.17310909091 -11.6262343307 0.0 0.0 0.0856960469016 0.000881279981736 0.0 0.0 0.0 0.0 -0.88244301699 2.37337154348 0.0 0.0 -0.21982485729 -0.541988468319
RTBT_Mag:DCH06 -0.638472414813 -12.2377907483 0.0 0.0 0.0785469784117 -0.0607050725867 0.0 0.0 0.0 0.0 -1.92493547419 3.58588018933 0.0 0.0 -0.0196701112839 -0.482855321692
RTBT_Diag:BLM07 -0.20292979613 -10.2666820494 0.0 0.0 0.0913766838688 -0.304857350542 0.0 0.0 0.0 0.0 -1.52183702619 9.55136819336 0.0 0.0 -0.0375631962898 -0.421346090734
RTBT_Mag:QV07 -0.20292979613 -10.2666820494 0.0 0.0 0.0913766838688 -0.304857350542 0.0 0.0 0.0 0.0 -1.52183702619 9.55136819336 0.0 0.0 -0.0375631962898 -0.421346090734
RTBT_Diag:BPM07 3.80898914647 -11.4696252592 0.0 0.0 0.21898671318 -0.396875779584 0.0 0.0 0.0 0.0 2.14725497287 9.18142133859 0.0 0.0 -0.190561674847 -0.349109461721
RTBT_Mag:DCV07 3.80898914647 -12.2341427068 0.0 0.0 0.21898671318 -0.440829478733 0.0 0.0 0.0 0.0 2.14725497287 8.75043720397 0.0 0.0 -0.190561674847 -0.310861065716
RTBT_Diag:BLM08 2.75973533327 -24.0321330208 0.0 0.0 0.170158413625 -1.11940793511 0.0 0.0 0.0 0.0 2.05355269801 2.08710537308 0.0 0.0 -0.202652505166 0.28099735067
RTBT_Mag:QH08 2.75973533327 -24.0321330208 0.0 0.0 0.170158413625 -1.11940793511 0.0 0.0 0.0 0.0 2.05355269801 2.08710537308 0.0 0.0 -0.202652505166 0.28099735067
RTBT_Diag:BPM08 -6.67775309523 -22.4308051141 0.0 0.0 -0.273072958318 -1.06701254274 0.0 0.0 0.0 0.0 1.39108932176 1.17614165679 0.0 0.0 -0.334973991549 0.435646457144
RTBT_Mag:DCH08 -6.67775309523 -21.0904865793 0.0 0.0 -0.273072958318 -1.01220297699 0.0 0.0 0.0 0.0 1.39108932176 0.896930554665 0.0 0.0 -0.334973991549 0.502880426884
RTBT_Diag:BLM09 -6.65537605854 -0.361449410057 0.0 0.0 -0.265808985349 -0.164690393345 0.0 0.0 0.0 0.0 1.24760928526 -3.41783320235 0.0 0.0 -0.269968389836 1.5411130304
RTBT_Mag:QV09 -6.65537605854 -0.361449410057 0.0 0.0 -0.265808985349 -0.164690393345 0.0 0.0 0.0 0.0 1.24760928526 -3.41783320235 0.0 0.0 -0.269968389836 1.5411130304
RTBT_Diag:BPM09 -7.09292709658 3.43885022595 0.0 0.0 -0.224318579931 -0.0322295714603 0.0 0.0 0.0 0.0 -0.124640332983 -3.66099150051 0.0 0.0 0.324030709271 1.49448952909
RTBT_Diag:BLM10 -5.92406763239 26.8518121796 0.0 0.0 -0.193523758167 0.708375370943 0.0 0.0 0.0 0.0 0.0178159298448 -3.25261709371 0.0 0.0 0.30512207248 0.424043619924
RTBT_Mag:QH10 -5.92406763239 26.8518121796 0.0 0.0 -0.193523758167 0.708375370943 0.0 0.0 0.0 0.0 0.0178159298448 -3.25261709371 0.0 0.0 0.30512207248 0.424043619924
RTBT_Diag:BPM10 4.86544616491 26.5788214021 0.0 0.0 0.0943671559803 0.721037221688 0.0 0.0 0.0 0.0 1.33945661677 -3.69528347109 0.0 0.0 0.160486058637 0.303823591659
RTBT_Diag:BLM11 4.41532672286 10.509815764 0.0 0.0 0.0769258153903 0.409590560509 0.0 0.0 0.0 0.0 0.996871609761 -8.11363327763 0.0 0.0 0.151059382646 -0.226348540496
RTBT_Mag:QV11 4.41532672286 10.509815764 0.0 0.0 0.0769258153903 0.409590560509 0.0 0.0 0.0 0.0 0.996871609761 -8.11363327763 0.0 0.0 0.151059382646 -0.226348540496
RTBT_Mag:DCV11 0.676432540523 9.17293957472 0.0 0.0 -0.0770679159864 0.433244478867 0.0 0.0 0.0 0.0 -2.09357446402 -7.22157515464 0.0 0.0 0.0544202799819 -0.289934687591
RTBT_Diag:BCM11 0.676432540523 8.09113048271 0.0 0.0 -0.0770679159864 0.556498117953 0.0 0.0 0.0 0.0 -2.09357446402 -3.87335082436 0.0 0.0 0.0544202799819 -0.376968279482
RTBT_Diag:BLM12 0.901317217411 7.06747217719 0.0 0.0 -0.0557987697323 0.671954042035 0.0 0.0 0.0 0.0 -2.06898380052 -0.723149777203 0.0 0.0 0.0689395064905 -0.459233373892
RTBT_Mag:QH12 0.901317217411 7.06747217719 0.0 0.0 -0.0557987697323 0.671954042035 0.0 0.0 0.0 0.0 -2.06898380052 -0.723149777203 0.0 0.0 0.0689395064905 -0.459233373892
RTBT_Mag:DCV13 2.8191486843 -6.16460320292 0.0 0.0 0.135536489305 0.0583407767161 0.0 0.0 0.0 0.0 -1.99239882848 8.93457685054 0.0 0.0 0.207373201184 -1.43183772342
RTBT_Diag:BPM13 2.8191486843 -6.73044581194 0.0 0.0 0.135536489305 0.0311367058018 0.0 0.0 0.0 0.0 -1.99239882848 9.334479189 0.0 0.0 0.207373201184 -1.47346042813
RTBT_Diag:BLM13 3.01609084879 -7.17457587496 0.0 0.0 0.135164505251 0.0100302023365 0.0 0.0 0.0 0.0 -1.72633936644 9.63825418513 0.0 0.0 0.16576390666 -1.50473001868
RTBT_Mag:QV13 3.01609084879 -7.17457587496 0.0 0.0 0.135164505251 0.0100302023365 0.0 0.0 0.0 0.0 -1.72633936644 9.63825418513 0.0 0.0 0.16576390666 -1.50473001868
