node_id mu_x mu_y alpha_x alpha_y beta_x beta_y
Begin_Of_RTBT1 0.0 0.0 -1.25287976099 0.789987518004 5.79735938488 9.99584375794
Ring_Mag:EKick01 0.066753540216 0.0437532690482 -1.4403765648 0.721260357547 6.93660681069 9.35658590658
Ring_Mag:EKick02 0.126493679056 0.0939926370906 -1.64161426913 0.647496454835 8.3358306493 8.73517031376
Ring_Mag:EKick03 0.179054848887 0.150908639629 -1.85437659969 0.569508187651 10.0139062663 8.15100808537
Ring_Mag:EKick04 0.227461469232 0.218724550225 -2.09063143759 0.482908715965 12.1165955502 7.59006987574
Ring_Mag:EKick05 0.271287727347 0.298608182672 -2.34993552796 0.387860515334 14.714327225 7.08066987543
Ring_Mag:EKick06 0.30763187344 0.383756269393 -2.60923961834 0.292812314703 17.6154446856 6.68247626986
Ring_Mag:EKick07 0.33818367368 0.473361134349 -2.86854370871 0.197764114072 20.819947932 6.39548905903
Ring_Mag:QTH_C10 0.393275533142 0.68962794033 2.9466501061 -1.50789321957 27.2519470949 6.64533124673
Ring_Mag:QTV_C11 0.445141630862 0.800001877815 3.52089764915 -1.97658514091 14.0965294693 13.2392607424
Ring_Mag:EKick08 0.519601798259 0.871509033735 0.661778002888 0.593956804405 12.022166925 12.7358260014
Ring_Mag:EKick09 0.563133200077 0.912423969958 0.600897413037 0.539891413998 11.3794651383 12.1586972582
Ring_Mag:EKick10 0.609158621209 0.955314830879 0.539897214954 0.48571980475 10.797659878 11.6356355367
Ring_Mag:EKick11 0.657200049455 0.999711114139 0.479375449798 0.431973070868 10.2819079096 11.1712829416
Ring_Mag:EKick12 0.705861015825 1.04432598128 0.420851142108 0.380000191642 9.84142703819 10.7739844242
Ring_Mag:EKick13 0.75448543446 1.0885888119 0.364718999049 0.330151689249 9.47275897095 10.4407101465
Ring_Mag:EKick14 0.805092981339 1.1343606076 0.308371561173 0.280111992941 9.15566600803 10.1532149259
RTBT_Mag:ExSptm 1.52426352844 1.77965505857 -0.446633990515 -0.390375431889 10.0284228443 10.8492331471
RTBT_POST_SEPTUM 1.84912574858 2.08027209005 -0.895603247829 -0.249308585053 13.9878309991 13.9552173364
RTBT_Mag:QV01 2.00671248327 2.25641467252 -4.46621585282 2.024498567 20.3455124189 15.0971098655
RTBT_Diag:BLM02 2.03658609395 2.31823262492 -7.37645205425 2.67215690268 32.560312643 9.79341884738
RTBT_Mag:QH02 2.03658609395 2.31823262492 -7.37645205425 2.67215690268 32.560312643 9.79341884738
RTBT_Diag:WS02 2.20259346535 2.71332197382 2.18737457241 -0.822736262327 15.1772687836 12.7289075748
RTBT_Diag:BCM02 2.25117642619 2.7635144888 1.9331566844 -0.910606248811 12.4288744353 13.8850470297
RTBT_Diag:BLM03 2.33003189809 2.82156455936 1.33893424376 -0.578920861897 9.42498918021 15.5101917204
RTBT_Mag:QV03 2.33003189809 2.82156455936 1.33893424376 -0.578920861897 9.42498918021 15.5101917204
RTBT_Diag:BLM04 2.63412865605 3.64655617499 -1.29271293247 0.461455138698 19.5627675447 1.6001190132
RTBT_Mag:QH04 2.63412865605 3.64655617499 -1.29271293247 0.461455138698 19.5627675447 1.6001190132
RTBT_Diag:BLM05 3.31664020394 4.88775960415 0.720633359552 -2.20383382085 1.70186228825 11.6574995375
RTBT_Mag:QV05 3.31664020394 4.88775960415 0.720633359552 -2.20383382085 1.70186228825 11.6574995375
RTBT_Mag:DCV05 3.80993521517 4.95334345734 -0.407912659763 2.1018640703 1.66109344957 10.2911673197
RTBT_Diag:BLM06 4.62465937959 5.64265716849 -2.10854003108 0.366119553188 10.9365186833 2.31992634018
RTBT_Mag:QH06 4.62465937959 5.64265716849 -2.10854003108 0.366119553188 10.9365186833 2.31992634018
RTBT_Mag:DCH06 4.69472760618 5.94856033709 2.04897748969 -0.965036233478 9.57833797311 3.02287330306
RTBT_Diag:BLM07 5.46216715533 0.141569293915 0.275664336662 -2.30620861927 2.09148961543 15.1392063961
RTBT_Mag:QV07 5.46216715533 0.141569293915 0.275664336662 -2.30620861927 2.09148961543 15.1392063961
RTBT_Diag:BPM07 5.71896328103 0.178395489968 -0.848964137855 3.31949086319 2.47620910046 13.8994296173
RTBT_Mag:DCV07 5.79465659037 0.193561828949 -0.988442112411 3.14593082767 2.84500225858 12.6017289681
RTBT_Diag:BLM08 0.0 1.02409173727 -2.45990950249 0.400105082221 15.6442880208 1.40598682945
RTBT_Mag:QH08 0.0 1.02409173727 -2.45990950249 0.400105082221 15.6442880208 1.40598682945
RTBT_Diag:BPM08 0.030534924319 1.42606179449 3.54582265334 -0.579091661398 14.3155999812 1.55642352667
RTBT_Mag:DCH08 0.0452880012082 1.54548798606 3.35552237377 -0.751295989933 12.9304034154 1.82345095372
RTBT_Diag:BLM09 0.935357664323 2.1870666594 0.359956189086 -2.79017897857 1.23665977784 14.724718562
RTBT_Mag:QV09 0.935357664323 2.1870666594 0.359956189086 -2.79017897857 1.23665977784 14.724718562
RTBT_Diag:BPM09 1.38829762451 2.22416005353 -0.598365049212 2.80423440542 1.4106573683 14.0857851958
RTBT_Diag:BLM10 2.16126025615 2.82541247103 -3.08571999359 0.618259852655 15.846983814 2.42866565983
RTBT_Mag:QH10 2.16126025615 2.82541247103 -3.08571999359 0.618259852655 15.846983814 2.42866565983
RTBT_Diag:BPM10 2.19573132727 3.06263755497 3.13744560209 -0.566999352088 15.1139803885 2.49712045588
RTBT_Diag:BLM11 2.80413115435 3.71004096657 0.672427017517 -1.80725044079 2.21696182078 12.0002102405
