node_id M11 M12 M13 M14 M21 M22 M23 M34 M31 M32 M33 M34 M41 M42 M43 M44
Begin_Of_RTBT1 1.46202533444 -14.5609470257 0.0 0.0 0.143984655333 -0.750023212997 0.0 0.0 0.0 0.0 -0.368428254233 4.66546527031 0.0 0.0 -0.145551579818 -0.871089976505
Ring_Mag:EKick01 1.46202533444 -15.1793837422 0.0 0.0 0.143984655333 -0.810928722203 0.0 0.0 0.0 0.0 -0.368428254233 4.82131042185 0.0 0.0 -0.145551579818 -0.809521658242
Ring_Mag:EKick02 1.46202533444 -15.843143244 0.0 0.0 0.143984655333 -0.876297755724 0.0 0.0 0.0 0.0 -0.368428254233 4.98857684927 0.0 0.0 -0.145551579818 -0.743441241005
Ring_Mag:EKick03 1.46202533444 -16.5449154046 0.0 0.0 0.143984655333 -0.945410390283 0.0 0.0 0.0 0.0 -0.368428254233 5.1654224113 0.0 0.0 -0.145551579818 -0.673576482692
Ring_Mag:EKick04 1.46202533444 -17.3241749078 0.0 0.0 0.143984655333 -1.02215421158 0.0 0.0 0.0 0.0 -0.368428254233 5.3617946708 0.0 0.0 -0.145551579818 -0.59599749065
Ring_Mag:EKick05 1.46202533444 -18.1794597285 0.0 0.0 0.143984655333 -1.10638523495 0.0 0.0 0.0 0.0 -0.368428254233 5.57732519953 0.0 0.0 -0.145551579818 -0.510849816456
Ring_Mag:EKick06 1.46202533444 -19.0347445491 0.0 0.0 0.143984655333 -1.19061625831 0.0 0.0 0.0 0.0 -0.368428254233 5.79285572826 0.0 0.0 -0.145551579818 -0.425702142263
Ring_Mag:EKick07 1.46202533444 -19.8900293697 0.0 0.0 0.143984655333 -1.27484728168 0.0 0.0 0.0 0.0 -0.368428254233 6.00838625698 0.0 0.0 -0.145551579818 -0.34055446807
Ring_Mag:QTH_C10 -3.43715463172 -21.0446316128 0.0 0.0 -0.183555972535 -1.41479460291 0.0 0.0 0.0 0.0 -1.86656028061 6.75726604003 0.0 0.0 -0.106506771396 -0.15017217152
Ring_Mag:QTV_C11 -5.14920538537 -13.9348114968 0.0 0.0 -0.292251469027 -0.98509745697 0.0 0.0 0.0 0.0 -1.62202016541 9.82400738854 0.0 0.0 -0.0909887451642 -0.0654282218536
Ring_Mag:EKick08 -2.4990202058 -11.2170663372 0.0 0.0 -0.102997208152 -0.862468623257 0.0 0.0 0.0 0.0 0.351030737761 9.75488885439 0.0 0.0 -0.101452299193 0.0294677822795
Ring_Mag:EKick09 -2.4990202058 -9.9450650524 0.0 0.0 -0.102997208152 -0.810043044307 0.0 0.0 0.0 0.0 0.351030737761 9.57621420887 0.0 0.0 -0.101452299193 0.0811070025685
Ring_Mag:EKick10 -2.4990202058 -8.67056474744 0.0 0.0 -0.102997208152 -0.75751446815 0.0 0.0 0.0 0.0 0.351030737761 9.39718853261 0.0 0.0 -0.101452299193 0.132847675157
Ring_Mag:EKick11 -2.4990202058 -7.40606052331 0.0 0.0 -0.102997208152 -0.705397880825 0.0 0.0 0.0 0.0 0.351030737761 9.2195669793 0.0 0.0 -0.101452299193 0.184182538548
Ring_Mag:EKick12 -2.4990202058 -6.18328993661 0.0 0.0 -0.102997208152 -0.655001346876 0.0 0.0 0.0 0.0 0.351030737761 9.04780763931 0.0 0.0 -0.101452299193 0.233823148543
Ring_Mag:EKick13 -2.4990202058 -5.01049975403 0.0 0.0 -0.102997208152 -0.60666475709 0.0 0.0 0.0 0.0 0.351030737761 8.88306891408 0.0 0.0 -0.101452299193 0.281434712554
Ring_Mag:EKick14 -2.4990202058 -3.83321133508 0.0 0.0 -0.102997208152 -0.558142772329 0.0 0.0 0.0 0.0 0.351030737761 8.71769833352 0.0 0.0 -0.101452299193 0.329228890704
RTBT_Mag:ExSptm -2.4990202058 11.9414063894 0.0 0.0 -0.102997208152 0.0920086676325 0.0 0.0 0.0 0.0 0.351030737761 6.50187963591 0.0 0.0 -0.101452299193 0.969628369396
