node_id position sig_11 sig_12 sig_13 sig_14 sig_22 sig_23 sig_24 sig_33 sig_34 sig_44
Begin_Of_RTBT1 0.00 202.67820106 43.7569938906 -24.8471225137 2.19873754135 14.432482065 -6.23573393148 0.581890690474 291.748387397 -20.0479377463 3.84743220152
Ring_Mag:EKick01 0.42 242.279007474 49.8619338041 -26.4506548674 2.44487730342 14.432482065 -5.98959416941 0.581890690474 275.47624926 -18.420473925 3.84743220152
Ring_Mag:EKick02 0.88 290.528408842 56.4142806616 -27.940019343 2.7090556769 14.432482065 -5.72541579594 0.581890690474 259.543476271 -16.6737397056 3.84743220152
Ring_Mag:EKick03 1.36 348.011362145 63.3418720528 -29.253804585 2.98836320833 14.432482065 -5.44610826451 0.581890690474 244.423134533 -14.8269722488 3.84743220152
Ring_Mag:EKick04 1.89 419.63390715 71.0343849934 -30.3984739556 3.29851094635 14.432482065 -5.13596052648 0.581890690474 229.710595283 -12.7762908854 3.84743220152
Ring_Mag:EKick05 2.48 507.683293767 79.4773870015 -31.2742444184 3.63891700028 14.432482065 -4.79555447256 0.581890690474 216.079022432 -10.5255430475 3.84743220152
Ring_Mag:EKick06 3.06 605.610992734 87.9203890095 -31.7517397982 3.9793230542 14.432482065 -4.45514841863 0.581890690474 205.080824552 -8.27479520964 3.84743220152
Ring_Mag:EKick07 3.65 713.41700405 96.3633910175 -31.8309600948 4.31972910813 14.432482065 -4.1147423647 0.581890690474 196.716001641 -6.02404737175 3.84743220152
Ring_Mag:QTH_C10 5.00 927.722346403 -102.257293516 -30.5271486926 -2.08955567654 12.3604105358 3.58508649287 0.269884518131 202.305028704 44.3749374032 13.2952572623
Ring_Mag:QTV_C11 6.03 477.014955137 -121.610805782 -26.7891499519 -1.33497308737 33.1219449207 7.3328367469 0.39331993411 397.513181215 57.4456581711 10.1142959913
Ring_Mag:EKick08 6.97 401.463077596 -25.2675870293 -21.2838302231 3.55797947921 4.10729163832 1.9743251455 -0.294920665333 379.197504782 -19.5856587439 2.9118344584
Ring_Mag:EKick09 7.48 376.804795225 -23.1769755854 -18.54429551 3.40786486055 4.10729163832 1.82421052685 -0.294920665333 360.013705164 -18.1035350046 2.9118344584
Ring_Mag:EKick10 7.99 354.232586683 -21.0822568498 -15.9526459275 3.25745532123 4.10729163832 1.67380098753 -0.294920665333 342.305467602 -16.6184994308 2.9118344584
Ring_Mag:EKick11 8.50 333.948957273 -19.0039672809 -13.5329405427 3.10822546457 4.10729163832 1.52457113087 -0.294920665333 326.233080625 -15.1451111948 2.9118344584
Ring_Mag:EKick12 8.99 316.335020025 -16.9942694822 -11.3367214493 2.96392078303 4.10729163832 1.38026644932 -0.294920665333 312.109210172 -13.7203505943 2.9118344584
Ring_Mag:EKick13 9.46 301.288798826 -15.0667175164 -9.3629484428 2.82551451479 4.10729163832 1.24186018108 -0.294920665333 299.872598776 -12.353826683 2.9118344584
Ring_Mag:EKick14 9.93 288.004490214 -13.1317724256 -7.51226150337 2.68657738935 4.10729163832 1.10292305565 -0.294920665333 288.879061867 -10.9820614697 2.9118344584
RTBT_Mag:ExSptm 17.48 285.877228004 12.7947708361 4.65705091627 0.824943480235 4.10729163832 -0.758710853468 -0.294920665333 266.257665657 7.39837233065 2.9118344584
RTBT_POST_SEPTUM 20.00 413.419839314 29.0166407845 0.323941477308 -0.354011121932 4.48077294237 -1.88064646551 -0.252506157073 332.776819437 6.08565568609 2.27659348071
RTBT_Mag:QV01 22.60 619.6992736 138.775257884 -7.16866415558 0.115723312953 32.7078763067 -3.56598829425 0.161848140315 363.76447706 -47.2772792443 8.1253218818
RTBT_Diag:BLM02 23.36 996.409806558 228.037957037 -9.39856177471 1.15961420618 53.202793156 -3.46115421819 0.506585017802 238.271918973 -62.8959625059 19.6265865161
RTBT_Mag:QH02 23.56 996.409806558 228.037957037 -9.39856177471 1.15961420618 53.202793156 -3.46115421819 0.506585017802 238.271918973 -62.8959625059 19.6265865161
RTBT_Diag:WS02 27.34 476.297076099 -66.1725195471 -17.7571727428 -1.88291360271 11.3149494319 -0.0868026527054 0.0328951627431 339.39321284 25.3919200558 4.02280271083
RTBT_Diag:BCM02 28.00 393.056831561 -58.625448276 -19.0563387891 -1.86097252916 11.3149494319 -0.0648615791558 0.0328951627431 375.05573487 28.0751294639 4.02280271083
RTBT_Diag:BLM03 28.86 301.805875832 -40.3630981614 -20.6733064887 -1.24439000378 8.74620042879 -0.627396554843 -0.00160395331577 425.209167503 19.3432865913 2.57455660026
RTBT_Mag:QV03 29.06 301.805875832 -40.3630981614 -20.6733064887 -1.24439000378 8.74620042879 -0.627396554843 -0.00160395331577 425.209167503 19.3432865913 2.57455660026
RTBT_Diag:BLM04 32.72 653.322078731 45.0943936897 -12.434497455 8.12768254177 4.65923229715 -1.30908375215 0.915789655517 48.9832606808 -14.7379115199 19.1446701479
RTBT_Mag:QH04 32.92 653.322078731 45.0943936897 -12.434497455 8.12768254177 4.65923229715 -1.30908375215 0.915789655517 48.9832606808 -14.7379115199 19.1446701479
RTBT_Diag:BLM05 36.58 57.9639347669 -25.6388778085 3.75287611867 1.9499628178 28.7735304618 -0.990886850215 -0.714054877537 278.805483538 51.034697185 11.9262455211
RTBT_Mag:QV05 36.78 57.9639347669 -25.6388778085 3.75287611867 1.9499628178 28.7735304618 -0.990886850215 -0.714054877537 278.805483538 51.034697185 11.9262455211
RTBT_Mag:DCV05 37.33 53.4248255868 10.6912170074 4.28218737762 0.248946619025 21.0534540107 0.308062485944 -0.156666630691 244.213708281 -51.0629022783 13.6273362582
