node_id position alpha_x alpha_y beta_x beta_y
Begin_Of_RTBT2 70.00 -1.67562446031 2.42668823511 7.19215545463 21.9075643196
RTBT_Mag:DH13 71.49 -1.80734576114 2.34845327737 8.05871844573 20.7195091113
RTBT_Diag:BLM14 73.68 -2.32411882889 1.09205404779 24.0401783713 8.31489305259
RTBT_Mag:QH14 73.88 -2.32411882889 1.09205404779 24.0401783713 8.31489305259
RTBT_Mag:DCH14 74.44 2.2315573928 -0.579871558504 22.6527684585 8.41007939009
RTBT_Diag:BCM14 75.99 1.82265438457 -0.82598728949 16.3727944153 10.5877547456
RTBT_Diag:BLM15 78.08 1.06649052259 -0.856318884055 9.90599028205 14.7297201984
RTBT_Mag:QV15 78.28 1.06649052259 -0.856318884055 9.90599028205 14.7297201984
RTBT_Diag:BPM15 78.64 -0.80446625398 1.77342634798 9.95194538758 13.912007944
RTBT_Mag:DCV15 78.84 -0.837686820852 1.7136242141 10.2815484998 13.2121080775
RTBT_Diag:BLM16 83.87 -1.26208568654 0.150853559833 22.8915346897 3.5125084206
RTBT_Mag:QH16 84.07 -1.26208568654 0.150853559833 22.8915346897 3.5125084206
RTBT_Diag:BLM_Mov02 84.27 1.98292151516 -0.473662322403 22.5975796967 3.63922734649
RTBT_Diag:BPM16 84.43 2.34044774349 -0.593905864638 21.8812278659 3.81241217145
RTBT_Mag:DCH16 84.63 2.28102858243 -0.665123421414 20.9536328666 4.06511697557
RTBT_Diag:BLM17 89.66 0.670357744387 -2.01950109851 5.49515870824 19.7349985759
RTBT_Mag:QV17 89.86 0.670357744387 -2.01950109851 5.49515870824 19.7349985759
RTBT_Diag:BPM17 90.22 -0.504558032843 1.85603846353 5.51637747397 19.4042680844
RTBT_Mag:DCV17 90.42 -0.550206020523 1.81006149623 5.72808338618 18.6684304971
RTBT_Diag:BPM18 95.30 -1.6598014051 0.692469389805 16.510457675 6.45886759259
RTBT_Diag:BLM18 95.45 -1.32519864137 0.520837968253 17.014725035 6.25547309388
RTBT_Mag:QH18 95.65 -1.32519864137 0.520837968253 17.014725035 6.25547309388
RTBT_Diag:BLM19a 101.24 0.33703511689 -1.72513908884 4.00583387178 21.8632593029
