RTBT_Mag:QH18 RTBT_Mag:QV19 RTBT_Mag:QH26 RTBT_Mag:QV27 RTBT_Mag:QH28 RTBT_Mag:QV29 RTBT_Mag:QH30 
1.66283385861 -1.6397479077 2.906405868 -1.64024404082 2.11810994297 -1.39858857808 0.539754732104 
1.66772775151 -1.65487929059 2.86340420578 -1.61078825437 2.13764862242 -1.39926045581 0.488616525807 
1.69314314568 -1.71382467559 2.89304101225 -1.75053843085 2.01776595216 -1.30106252785 0.659368846659 
1.71858919071 -1.77406534777 2.88381601632 -1.74628753686 2.02138499325 -1.31255122363 0.65752028885 
1.74571783159 -1.83968210161 2.88931221247 -1.6435545631 2.12180435728 -1.3782307388 0.508614837897 
1.77598189415 -1.91463763979 2.89057793891 -1.7301412871 2.02931730342 -1.3219145103 0.642423183802 
1.81013952933 -2.00154662741 2.88544184094 -1.71723262268 2.03153151722 -1.32977482761 0.635953204129 
1.85241204564 -2.09519210283 2.88908986408 -1.71787078215 2.03101877602 -1.32769431782 0.636573864692 
1.90050401238 -2.18495635634 2.89969709606 -1.73411150728 2.02010589193 -1.30972997791 0.652388861126 
1.94648397107 -2.26987757114 2.78800834717 -1.61867663163 1.87636149377 -1.31540552884 0.778814481681 
1.98960572149 -2.34850311052 2.78993538388 -1.63737459164 1.90103127156 -1.30346133711 0.757111677068 
2.02956925807 -2.42035523334 2.71847465851 -1.53492127883 2.15736255104 -1.48449450658 0.547226408551 
2.06651854078 -2.48585719464 2.8054345857 -1.47441869079 2.03972419682 -1.36712022196 0.618757913784 
2.10086092713 -2.54593429506 2.83360467012 -1.72926546807 1.95487528475 -1.28421224183 0.746201250368 
2.13299282642 -2.60148841175 2.87125761718 -1.60010906866 2.01496275973 -1.31633879396 0.682464802127 
1.71712401923 -1.65968016931 2.67109539225 -1.53454995685 1.99262375395 -1.33058441044 0.652061288266 
1.7227910491 -1.67773408378 2.7566376194 -1.54025320006 2.1320919423 -1.48306619502 0.572903077182 
1.74709120399 -1.73561299935 2.85122546638 -1.73983994203 2.00935387053 -1.32404891584 0.707697283624 
1.77163596924 -1.79527130491 2.87437471834 -1.75103404817 2.0158842302 -1.31694002815 0.697888484924 
1.79800680911 -1.8607513028 2.88775379614 -1.78758363915 2.01958498439 -1.23251637955 0.640978097294 
1.82759143479 -1.93597593235 2.87035530975 -1.75882357316 2.00523996536 -1.27672952885 0.677384659866 
1.8610195581 -2.02330664229 2.86133230372 -1.70398101791 2.05886187421 -1.35969235472 0.642554207994 
1.89699259423 -2.12017311585 2.76523852488 -1.50171478774 1.97761310438 -1.34156241473 0.655690827823 
1.93227223726 -2.21821708538 2.74359665695 -1.69647084936 2.02758228953 -1.34789296167 0.64880585076 
1.96717606519 -2.30774021377 2.79526567927 -1.62689364092 1.89569263942 -1.30874846131 0.760797096951 
2.00871770149 -2.38299307714 2.7338940772 -1.49222678542 2.00214919913 -1.3548032318 0.636145583754 
2.04733839019 -2.45196863544 2.86896625089 -1.59569364093 2.00931653006 -1.30416837148 0.646661511043 
2.08353251337 -2.51571550805 2.81297485931 -1.61078088398 2.0026196382 -1.29547427144 0.65974781498 
2.11775763169 -2.5752221058 2.94800587522 -1.59343388209 2.01199688928 -1.33023541353 0.694094605088 
2.15030144006 -2.63118074656 2.86588298805 -1.59304418772 2.09190664285 -1.51908106756 0.734531267077 
1.7790451449 -1.68203920278 2.77073841507 -1.55305562138 2.02032973817 -1.33501456252 0.660306639774 
1.7852142445 -1.70313608565 2.78719315074 -1.5339797568 2.14825850745 -1.4975418182 0.5835403271 
1.80784123096 -1.75967848896 2.77006483332 -1.72093705014 1.97501728766 -1.32874719942 0.758939830062 
1.83093894296 -1.81853488067 2.81962125315 -1.74900311956 1.94387828064 -1.2564487179 0.756095432627 
1.85598596235 -1.88369761116 2.79114637879 -1.73377384897 1.94865047606 -1.30376569468 0.772153058396 
1.88427587663 -1.95902956978 2.74628898489 -1.71365931446 1.92454041222 -1.30181207804 0.779898909981 
1.91629058622 -2.0465818101 2.84594007214 -1.7523763793 1.96989744407 -1.18982187528 0.672713230676 
1.95053927349 -2.14306577354 2.83628595001 -1.61767917511 1.9711894162 -1.29799963835 0.705234720692 
1.9837808678 -2.23963134096 2.8865996037 -1.57427806019 2.0131404599 -1.32493278779 0.660898738669 
2.01362030436 -2.32887464209 2.93827438567 -1.65732451101 1.97044340299 -1.29982171975 0.726942759819 
2.03984322414 -2.40938682671 2.78703526 -1.67601449641 2.11915044643 -1.41183891891 0.603628543771 
2.06486849796 -2.48295138921 2.83393911875 -1.54181420472 2.01463030476 -1.34256411745 0.654274591442 
2.1008756245 -2.5459598457 2.84211964997 -1.73253850779 1.95857735915 -1.2833456741 0.743900534642 
2.13558927611 -2.60595221909 2.8760842931 -1.61544061798 2.00559371862 -1.30987806415 0.695078890689 
2.16913176866 -2.66332664815 2.68049643644 -1.57531242369 2.18730949927 -1.49085843372 0.607781097153 
1.8493584526 -1.70697094277 2.64580650592 -1.45103540841 2.07222012768 -1.35706145048 0.586107011712 
1.85582506479 -1.73123993637 2.63507342905 -1.56609916272 2.16897761792 -1.47692441435 0.574602503077 
1.87620833373 -1.78618404802 2.83203463192 -1.69626562273 1.95077324894 -1.28077164491 0.768940191236 
1.89728660484 -1.84402360137 2.87005409551 -1.76826794307 1.97727007398 -1.24202039064 0.73506849634 
1.92040647095 -1.90869547439 2.88301450709 -1.7616383295 1.99788552681 -1.29344028378 0.745610839672 
1.94674308894 -1.98398423224 2.75894579251 -1.61318037317 1.96487359056 -1.30221157191 0.731105934862 
