RTBT_Diag:WS20 248.391795693 420.156729788 -16.3357949229 
RTBT_Diag:WS20 232.575094351 417.564244199 -13.6478204785 
RTBT_Diag:WS20 223.105926962 412.631049284 -15.2052436093 
RTBT_Diag:WS20 215.5712433 408.052455301 -15.3146182132 
RTBT_Diag:WS20 211.814310283 407.251264468 -17.0951715523 
RTBT_Diag:WS20 216.794065318 481.973383208 -14.0733100724 
RTBT_Diag:WS20 221.917842833 446.157557959 -14.6026029231 
RTBT_Diag:WS20 222.591326305 412.431425181 -18.414059922 
RTBT_Diag:WS20 226.962266556 384.80570708 -16.8704066379 
RTBT_Diag:WS20 230.002158147 362.751240352 -16.1037627956 
RTBT_Diag:WS21 501.450602542 184.651306546 -22.4729538944 
RTBT_Diag:WS21 494.972268951 181.886594568 -19.9176051176 
RTBT_Diag:WS21 494.631451189 176.653085827 -20.0818426329 
RTBT_Diag:WS21 505.257343051 174.077432953 -22.6218362124 
RTBT_Diag:WS21 510.72406955 171.119222237 -24.2705580719 
RTBT_Diag:WS21 476.33575497 209.742542614 -23.2793557373 
RTBT_Diag:WS21 490.336415839 191.543237563 -23.1792014366 
RTBT_Diag:WS21 496.913829802 176.723428819 -25.3925465941 
RTBT_Diag:WS21 508.45363652 167.359718361 -23.8304516631 
RTBT_Diag:WS21 520.895626416 161.110940466 -21.044855539 
RTBT_Diag:WS23 486.520808548 184.489078756 3.65629292524 
RTBT_Diag:WS23 477.898780514 185.434714078 6.9942630098 
RTBT_Diag:WS23 467.532274088 184.989028164 4.60211711687 
RTBT_Diag:WS23 455.043329277 188.583737707 1.46534056767 
RTBT_Diag:WS23 441.803430127 190.758965401 3.87654457106 
RTBT_Diag:WS23 468.728812264 179.690552399 0.404990467692 
RTBT_Diag:WS23 468.781296223 182.969939862 4.60489760359 
RTBT_Diag:WS23 469.182041353 187.40693658 -6.31554436987 
RTBT_Diag:WS23 468.823109466 187.452051799 3.16803707435 
RTBT_Diag:WS23 467.736645791 186.577725987 3.80210836349 
RTBT_Diag:WS24 272.616840639 420.317656349 -17.9281586053 
RTBT_Diag:WS24 260.06070109 427.482567784 -17.1751527512 
RTBT_Diag:WS24 243.753398312 429.854766752 -15.4779394365 
RTBT_Diag:WS24 235.439623668 436.498146615 -17.2564420295 
RTBT_Diag:WS24 224.650813445 441.171062751 -19.2462943033 
RTBT_Diag:WS24 252.255018966 438.210961991 -17.4237880835 
RTBT_Diag:WS24 248.618900382 442.370609743 -15.8583409065 
RTBT_Diag:WS24 244.830984014 428.293405739 -18.0717368195 
RTBT_Diag:WS24 246.543028874 411.928665941 -18.3130706376 
RTBT_Diag:WS24 240.569527406 384.571755689 -14.3514230928 
