RTBT_Diag:WS20 7.23468174707 42.8926400128 23.9794622273 -1.08419865269 
RTBT_Diag:WS20 12.2498207497 64.7422976329 36.2953789568 -2.20068023448 
RTBT_Diag:WS20 15.1739018111 94.6007586135 53.5570049912 -1.33032522104 
RTBT_Diag:WS20 18.5896590509 115.943775496 66.5691653159 -0.697551957719 
RTBT_Diag:WS20 22.2953836064 137.843441582 81.4649077391 1.39549514496 
RTBT_Diag:WS20 25.5672755899 160.626035105 95.0054169665 1.90876161926 
RTBT_Diag:WS20 29.8074388099 181.968090901 109.959529024 4.07176416838 
RTBT_Diag:WS20 33.8365488374 210.478138504 128.862520156 6.7051764855 
RTBT_Diag:WS20 37.9942911176 232.171922469 137.60578716 2.52268036661 
RTBT_Diag:WS20 42.2711960092 261.597399899 165.212392061 13.2780941065 
RTBT_Diag:WS21 16.5806698589 17.5363720092 15.2440985159 -1.81442241817 
RTBT_Diag:WS21 24.7713085804 27.0648354674 24.6418367867 -1.27623523718 
RTBT_Diag:WS21 31.0116172216 42.045704364 35.6139020606 -0.914758732221 
RTBT_Diag:WS21 38.8973996094 51.7093568214 43.2442584318 -2.05911978358 
RTBT_Diag:WS21 45.6007690658 59.8044777023 52.0091806197 -0.693442764344 
RTBT_Diag:WS21 53.6243993074 68.0908162257 60.4947372248 -0.36287054178 
RTBT_Diag:WS21 61.8017348282 77.6213118907 70.1200751162 0.408551756757 
RTBT_Diag:WS21 70.7719457948 88.2025772882 81.7136262711 2.22636472961 
RTBT_Diag:WS21 79.6031293344 98.499205989 87.7999488402 -1.25121882147 
RTBT_Diag:WS21 89.6502754658 110.772544792 104.445091154 4.23368102484 
RTBT_Diag:WS23 22.3019004725 9.89221342095 14.8503969824 -1.24665996428 
RTBT_Diag:WS23 40.2888135341 12.4138913287 25.6535712962 -0.697781135166 
RTBT_Diag:WS23 53.3205541784 19.3046062424 40.4452361424 4.13265593205 
RTBT_Diag:WS23 67.3640991635 24.1489702206 48.8378346108 3.0812999188 
RTBT_Diag:WS23 81.7771588561 28.2251842045 58.1455692681 3.14439773774 
RTBT_Diag:WS23 97.0259432981 32.4607276711 67.7535174578 3.01018197325 
RTBT_Diag:WS23 113.115713867 36.9362769483 78.2349680106 3.20897260281 
RTBT_Diag:WS23 130.79533486 42.6166339994 88.5382569182 1.83227248875 
RTBT_Diag:WS23 147.728580633 48.9482998644 99.2885737761 0.950133527185 
RTBT_Diag:WS23 164.539494344 55.8262734826 113.400407494 3.21752358074 
RTBT_Diag:WS24 10.1277539923 22.5454241907 16.6328545724 0.296265480879 
RTBT_Diag:WS24 16.8194803357 30.0173603277 23.3719557404 -0.0464645913416 
RTBT_Diag:WS24 21.7710891468 44.615271114 37.0748352069 3.88165507653 
RTBT_Diag:WS24 26.8997462522 56.4136661608 45.7553820962 4.09867588976 
RTBT_Diag:WS24 32.567517403 70.0022344865 55.0480998138 3.76322386904 
RTBT_Diag:WS24 38.7238256151 82.9836365979 64.7694457287 3.9157146222 
RTBT_Diag:WS24 44.8011142539 98.7260869178 75.7128900816 3.94928949569 
RTBT_Diag:WS24 52.0405227422 115.798297457 88.2909739173 4.37156381772 
RTBT_Diag:WS24 58.3892824036 130.726129022 98.0708493468 3.51314363416 
RTBT_Diag:WS24 64.2388004658 148.690066579 113.841465692 7.37703216938 
