RTBT_Mag:QH18 RTBT_Mag:QV19 RTBT_Mag:QH26 RTBT_Mag:QV27 RTBT_Mag:QH28 RTBT_Mag:QV29 RTBT_Mag:QH30 
1.63032907229 -1.5485628737 2.09249511996 -1.41753656785 1.90986287654 -1.14295240286 0.550075839276 
1.67960694787 -1.74078668698 2.33576686946 -1.30846723962 1.91089699439 -1.17298638875 0.503619837413 
1.68956223557 -1.77474275254 2.28731815729 -1.34612958438 1.9171203676 -1.17142314076 0.526913612823 
1.71595106543 -1.86804795659 2.36728049922 -1.31104504597 1.91205675168 -1.1767145887 0.503948436577 
1.73413513494 -1.92756318381 2.41529483633 -1.29502629866 1.90616889435 -1.20434609537 0.516548431422 
1.73553336742 -1.97458857267 2.30230444796 -1.28215306761 1.94486021905 -1.21460649687 0.492717072929 
1.75351784269 -2.0350797149 2.28483322978 -1.32670414937 1.9542193423 -1.17888683616 0.460708386379 
1.78887903399 -2.11639154802 2.44625612427 -1.36267139509 1.90408515436 -1.21347749011 0.567083056695 
1.80460096043 -2.19999497253 2.23738726316 -1.34230730052 1.92781062191 -1.19448615926 0.530136014761 
1.79336282985 -2.08630886286 2.53822691886 -1.55195706558 1.88120403164 -1.14335331453 0.636023941724 
1.8165204833 -2.16984957308 2.28934088576 -1.52117997896 1.8844900113 -1.11130530997 0.559791360368 
1.73778532926 -1.95076202282 2.47287869482 -1.33504580807 1.95754198001 -1.31105607064 0.490247036896 
1.75126214824 -1.64781346085 2.26299365738 -1.32504707689 1.83699271658 -1.18201042265 0.554835287539 
1.77076055916 -1.77137571416 2.34843150794 -1.28285703565 1.87112133165 -1.18740004668 0.526899295635 
1.78284741536 -1.82267704356 2.31028384097 -1.29697919966 1.8819168808 -1.16818759023 0.502652710074 
1.80099650343 -1.86799803236 2.4189359996 -1.29819479057 1.86233506039 -1.202065358 0.538658234235 
1.82096069585 -1.96206704462 2.45845773221 -1.26073737877 1.86874208543 -1.21060064909 0.518448273167 
1.81475348871 -2.00405564533 2.35728933746 -1.27512580508 1.92867177406 -1.20930363145 0.485424718667 
1.82317148061 -2.07041776141 2.23195163901 -1.29632232649 1.96870450642 -1.17203454782 0.427175172103 
1.85151743956 -2.12818759819 2.35562003524 -1.3742894997 1.93694418262 -1.12428303714 0.417701586419 
1.86542297984 -2.19814818533 2.48294971306 -1.43518312314 1.94108106549 -1.13178642899 0.485205090421 
1.84786232224 -2.26026967902 2.14294571031 -1.41209864384 2.06347217395 -1.06560265975 0.32461086367 
1.79705053466 -1.91166134752 2.49579164228 -1.28659414196 1.93382534221 -1.35551842845 0.550625270572 
1.8717748543 -2.3462609923 2.11981242881 -1.45209970713 2.06085953432 -1.05727670052 0.352174833371 
1.8185404638 -1.7286425531 2.27858460088 -1.27196270322 1.87848997891 -1.18280746127 0.513251147442 
1.83994431852 -1.79072888467 2.29130621759 -1.24337245113 1.86059438676 -1.18881928225 0.501443305273 
1.84818945916 -1.83034944479 2.32337365035 -1.30101829224 1.87753243201 -1.17364397591 0.508578314602 
1.86585030137 -1.90109998253 2.39473269156 -1.26614622744 1.87168910397 -1.20525810643 0.520419029137 
1.88294627135 -1.97324203292 2.39552335884 -1.25805368102 1.87616889942 -1.19463108687 0.49155268513 
1.89399862618 -2.03077066651 2.33607628182 -1.24040553767 1.88858153483 -1.19909486298 0.46597177209 
