Ring_Diag:BPM_A13 8.533223
Ring_Diag:BPM_B01 15.107856
Ring_Diag:BPM_B02 19.104919
Ring_Diag:BPM_B03 23.101561
Ring_Diag:BPM_B04 27.104705
Ring_Diag:BPM_B05 31.831564
Ring_Diag:BPM_B06 35.828802
Ring_Diag:BPM_B07 39.831946
Ring_Diag:BPM_B08 43.828617
Ring_Diag:BPM_B09 47.825651
Ring_Diag:BPM_B10 54.400146
Ring_Diag:BPM_B13 70.534891
Ring_Diag:BPM_C01 77.109386
Ring_Diag:BPM_C02 81.10642
Ring_Diag:BPM_C03 85.103091
Ring_Diag:BPM_C04 89.106235
Ring_Diag:BPM_C05 93.833094
Ring_Diag:BPM_C06 97.830333
Ring_Diag:BPM_C07 101.833476
Ring_Diag:BPM_C08 105.830147
Ring_Diag:BPM_C09 109.827181
Ring_Diag:BPM_C10 116.401246
Ring_Diag:BPM_C13 132.536461
Ring_Diag:BPM_D01 139.110956
Ring_Diag:BPM_D02 143.107991
Ring_Diag:BPM_D03 147.104661
Ring_Diag:BPM_D04 151.107805
Ring_Diag:BPM_D05 155.834664
Ring_Diag:BPM_D06 159.831903
Ring_Diag:BPM_D07 163.835046
Ring_Diag:BPM_D08 167.831717
Ring_Diag:BPM_D09 171.828751
Ring_Diag:BPM_D10 178.403246
Ring_Diag:BPM_D13 194.537991
Ring_Diag:BPM_A01 201.112486
Ring_Diag:BPM_A02 205.109521
Ring_Diag:BPM_A03 209.106191
Ring_Diag:BPM_A04 213.109335
Ring_Diag:BPM_A05 217.836194
Ring_Diag:BPM_A06 221.833433
Ring_Diag:BPM_A07 225.836576
Ring_Diag:BPM_A08 229.833247
Ring_Diag:BPM_A09 233.830281
Ring_Diag:BPM_A10 240.405247
