node_id M11 M12 M13 M14 M21 M22 M23 M34 M31 M32 M33 M34 M41 M42 M43 M44
Begin_Of_RTBT1 -5.09878667327 11.8018720158 0.0 0.0 -0.204381425698 0.276944990834 0.0 0.0 0.0 0.0 -1.00574557641 -4.28055365682 0.0 0.0 0.000865278547684 -0.990604534704
Ring_Mag:EKick01 -5.09878667327 13.9586587786 0.0 0.0 -0.204381425698 0.363398333904 0.0 0.0 0.0 0.0 -1.00574557641 -3.855123278 0.0 0.0 0.000865278547684 -0.99097054753
Ring_Mag:EKick02 -5.09878667327 16.2735079283 0.0 0.0 -0.204381425698 0.456187501171 0.0 0.0 0.0 0.0 -1.00574557641 -3.39851478631 0.0 0.0 0.000865278547684 -0.99136338399
Ring_Mag:EKick03 -5.09878667327 18.7209255314 0.0 0.0 -0.204381425698 0.554290585506 0.0 0.0 0.0 0.0 -1.00574557641 -2.91575690963 0.0 0.0 0.000865278547684 -0.991778717693
Ring_Mag:EKick04 -5.09878667327 21.4385788283 0.0 0.0 -0.204381425698 0.663225885402 0.0 0.0 0.0 0.0 -1.00574557641 -2.37969451741 0.0 0.0 0.000865278547684 -0.992239911159
Ring_Mag:EKick05 -5.09878667327 24.4213690322 0.0 0.0 -0.204381425698 0.782789019436 0.0 0.0 0.0 0.0 -1.00574557641 -1.79133335521 0.0 0.0 0.000865278547684 -0.99274609911
Ring_Mag:EKick06 -5.09878667327 27.404159236 0.0 0.0 -0.204381425698 0.902352153469 0.0 0.0 0.0 0.0 -1.00574557641 -1.20297219301 0.0 0.0 0.000865278547684 -0.99325228706
Ring_Mag:EKick07 -5.09878667327 30.3869494399 0.0 0.0 -0.204381425698 1.0219152875 0.0 0.0 0.0 0.0 -1.00574557641 -0.614611030811 0.0 0.0 0.000865278547684 -0.99375847501
Ring_Mag:QTH_C10 3.18292167123 35.9045050709 0.0 0.0 0.083016275772 1.2506303031 0.0 0.0 0.0 0.0 -1.14050118921 0.768533679989 0.0 0.0 0.232841253722 -1.03370900156
Ring_Mag:QTV_C11 5.7562705648 26.4787057233 0.0 0.0 0.168889044183 0.95060912082 0.0 0.0 0.0 0.0 -0.980839889594 2.07678984317 0.0 0.0 0.202818424223 -1.44897374027
Ring_Mag:EKick08 0.599186810069 25.2272142018 0.0 0.0 -0.0172596474756 0.942255681527 0.0 0.0 0.0 0.0 -0.545769250123 2.65305508714 0.0 0.0 -0.0880315334332 -1.40434348807
Ring_Mag:EKick09 0.599186810069 24.9222281155 0.0 0.0 -0.0172596474756 0.951040842092 0.0 0.0 0.0 0.0 -0.545769250123 2.93085163545 0.0 0.0 -0.0880315334332 -1.35953543755
Ring_Mag:EKick10 0.599186810069 24.6166428424 0.0 0.0 -0.0172596474756 0.959843262305 0.0 0.0 0.0 0.0 -0.545769250123 3.20919395301 0.0 0.0 -0.0880315334332 -1.3146393555
Ring_Mag:EKick11 0.599186810069 24.3134543165 0.0 0.0 -0.0172596474756 0.968576643928 0.0 0.0 0.0 0.0 -0.545769250123 3.48535319357 0.0 0.0 -0.0880315334332 -1.27009539958
Ring_Mag:EKick12 0.599186810069 24.0202722103 0.0 0.0 -0.0172596474756 0.977021789438 0.0 0.0 0.0 0.0 -0.545769250123 3.75239808766 0.0 0.0 -0.0880315334332 -1.22702157027
Ring_Mag:EKick13 0.599186810069 23.7390738404 0.0 0.0 -0.0172596474756 0.985121741998 0.0 0.0 0.0 0.0 -0.545769250123 4.00852759674 0.0 0.0 -0.0880315334332 -1.18570837163
