RTBT_Diag:WS20 168.268653137 222.448437595 -36.7024079309 
RTBT_Diag:WS20 153.818030734 221.124368157 -36.8486555681 
RTBT_Diag:WS20 147.619907819 212.861162209 -26.556859823 
RTBT_Diag:WS20 137.078288872 218.478559215 -29.0262499951 
RTBT_Diag:WS20 131.51154432 217.24116736 -30.4776849703 
RTBT_Diag:WS20 140.278246452 270.628049157 -38.1331581623 
RTBT_Diag:WS21 335.047014741 98.0783378866 -33.2358515573 
RTBT_Diag:WS21 327.205699667 96.5409630325 -32.2816438643 
RTBT_Diag:WS21 328.952962613 92.5923264447 -26.8642029002 
RTBT_Diag:WS21 331.121065277 94.0739775885 -30.7577828714 
RTBT_Diag:WS21 324.278457381 92.395212056 -31.6613830094 
RTBT_Diag:WS21 302.18145706 113.565935148 -27.57739846 
RTBT_Diag:WS23 354.928402168 105.125125597 -25.110616839 
RTBT_Diag:WS23 352.190864229 105.547469509 -28.2465376913 
RTBT_Diag:WS23 352.431883432 107.658828714 -19.8673785738 
RTBT_Diag:WS23 334.721799775 110.32958631 -20.6683066497 
RTBT_Diag:WS23 307.629073379 112.798935712 -18.0035938561 
RTBT_Diag:WS23 340.254514966 103.90328368 -15.9195161028 
RTBT_Diag:WS24 213.224196543 242.996647554 -45.9773218404 
RTBT_Diag:WS24 210.595054972 257.113953948 -51.4114725798 
RTBT_Diag:WS24 193.573307303 254.854723224 -39.6820207608 
RTBT_Diag:WS24 177.997356254 263.610484667 -37.7353227578 
RTBT_Diag:WS24 165.847694941 275.952687324 -36.8761318626 
RTBT_Diag:WS24 185.246645421 273.120536552 -39.7739364522 
